gene_id,symbol,product,biotype,protein_id,log2FoldChange,lfcSE,pvalue,padj,WT_mean,KO_mean
HFX_RS05960,"",CARDB domain-containing protein,protein_coding,WP_004572451.1,-2.71297460139209,0.372624096136945,3.00729323774324e-14,2.34448580814463e-12,3183.26045654373,428.68712973513
HFX_RS02545,"",ABC transporter substrate-binding protein,protein_coding,WP_004057806.1,-1.36940665448591,0.202156662723227,3.45064568254599e-14,2.63737585697339e-12,10749.8996187987,3967.7114590969
HFX_RS05915,"",chemotaxis protein CheC,protein_coding,WP_004572460.1,-2.33445164541975,0.319957728664706,3.70731014576427e-14,2.7790567208056e-12,26732.121086753,4884.42595728058
HFX_RS13685,"",hypothetical protein,protein_coding,WP_049917471.1,-1.35789998003175,0.202775926216288,5.65144959469097e-14,4.15648123020856e-12,918.840949404984,341.233529177159
HFX_RS03725,"",restriction endonuclease,protein_coding,WP_004057460.1,-2.41729983733239,0.336506806908983,8.26374764884056e-14,5.96520154355194e-12,11067.5903703556,1888.04621041824
HFX_RS02255,"",sulfatase,protein_coding,WP_004057905.1,1.50639886160792,0.224909666659011,1.11922200211986e-13,7.93223157138767e-12,3386.68368630773,10100.9212073473
HFX_RS19595,"",hypothetical protein,protein_coding,WP_014732199.1,1.51033336438549,0.226956620342562,1.52744084711998e-13,1.06320793251316e-11,101372.581007717,303270.118312379
HFX_RS05970,"",type II/IV secretion system ATPase subunit,protein_coding,WP_004572449.1,-3.13789592869216,0.457008243280665,1.98315772538416e-13,1.3562015462364e-11,14632.1841144405,1357.6381785916
HFX_RS17220,"",hypothetical protein,protein_coding,WP_004061030.1,1.24561692573084,0.193904440635753,2.89511198076968e-13,1.94571491397245e-11,840.711660299511,2104.89349765691
HFX_RS05965,"",ATPase domain-containing protein,protein_coding,WP_004572450.1,-2.99316998031391,0.441590560405783,5.52653382530121e-13,3.65125912729222e-11,5702.68833434547,594.682045633458
HFX_RS11170,"",CBS domain-containing protein,protein_coding,WP_004059914.1,-2.38119620325431,0.344777964836262,5.69501342847833e-13,3.67778940801282e-11,989.843971729488,172.305662664076
HFX_RS01140,"",transcription initiation factor IIB family protein,protein_coding,WP_004058367.1,-2.47872041045237,0.359193259255153,5.75539132603341e-13,3.67778940801282e-11,341.72230055021,55.0935180874327
HFX_RS02550,"",methyl-accepting chemotaxis protein,protein_coding,WP_004057805.1,-1.68499575497704,0.260631548785497,1.41202783372945e-12,8.87755563851191e-11,19021.8104008271,5601.01375662933
HFX_RS12925,"",hypothetical protein,protein_coding,WP_014732433.1,1.88945143637786,0.291979256910172,3.67556920265903e-12,2.27418551618491e-10,2440.56052641848,9639.16122183223
HFX_RS04425,"",hypothetical protein,protein_coding,WP_004057282.1,-1.45306455390211,0.241521125141684,6.87853669474804e-12,4.18945875564498e-10,2605.07033417228,896.150174113466
HFX_RS04435,"",hypothetical protein,protein_coding,WP_004057280.1,-1.86552846527604,0.297468579121953,1.13159828752736e-11,6.78610788427948e-10,451.735829281334,115.766926651458
HFX_RS14820,"",ABC transporter ATP-binding protein,protein_coding,WP_004058863.1,-1.24836899801276,0.215662345303642,1.67066044864805e-11,9.86702186186376e-10,17507.4504310228,6908.63595713253
HFX_RS09155,"",mechanosensitive ion channel family protein,protein_coding,WP_004060385.1,-1.57039517526762,0.267790855712487,2.97937374896819e-11,1.73337296619075e-09,1314.41379248987,414.841587343779
HFX_RS17730,"",hydantoinase/oxoprolinase family protein,protein_coding,WP_004060925.1,0.968791589948918,0.164915328948822,3.19504352637992e-11,1.83151171556308e-09,894.935315818864,1860.0369099593
HFX_RS13635,"",hypothetical protein,protein_coding,WP_004059309.1,1.04303106758776,0.181418492459746,3.98043208992785e-11,2.24865569370127e-09,3376.55007613782,7418.70027658378
HFX_RS05910,"",chemoreceptor glutamine deamidase CheD,protein_coding,WP_004572461.1,-2.46056885317567,0.397599633251199,5.4911177186809e-11,3.05776812391688e-09,9421.36403641061,1498.65644587519
HFX_RS13640,"",hypothetical protein,protein_coding,WP_004059308.1,1.11666932664551,0.201280448539971,9.0739997125437e-11,4.98175364499934e-09,406.688629185924,946.220469285766
HFX_RS06435,"",PQQ-binding-like beta-propeller repeat protein,protein_coding,WP_231512900.1,1.63158027747916,0.285300364948533,9.27969579925333e-11,5.02392419798465e-09,7794.03881887447,25861.0041750168
HFX_RS17620,"",ABC transporter ATP-binding protein,protein_coding,WP_004060948.1,1.05344868490329,0.188387506051163,9.53708959241433e-11,5.09254455222343e-09,5059.07808299023,11230.8216776415
HFX_RS05985,"",CheF family chemotaxis protein,protein_coding,WP_004572446.1,-2.33177504209845,0.396229932207333,3.07158697595534e-10,1.61797919355053e-08,5566.60812541936,973.653138519311
HFX_RS02895,"",type II/IV secretion system ATPase subunit,protein_coding,WP_179955355.1,-2.6726391665396,0.460065920244596,4.16490314279207e-10,2.1646389934138e-08,1540.74627373879,199.781726709149
HFX_RS05975,flaJ,archaellar assembly protein FlaJ,protein_coding,WP_004572448.1,-2.87526109322136,0.502244635670103,4.77444620639205e-10,2.44878833059424e-08,9116.1940253602,980.253125427637
HFX_RS12920,"",hypothetical protein,protein_coding,WP_004059524.1,1.74828029147695,0.328198918446553,1.28989396395645e-09,6.52987879415874e-08,1559.98515525257,5709.04125415607
HFX_RS00110,"",rhodanese-like domain-containing protein,protein_coding,WP_004058799.1,-0.878967291004147,0.164754672951241,1.57512331049748e-09,7.87157777476818e-08,3898.30114193465,1987.38426908285
HFX_RS09445,"",hypothetical protein,protein_coding,WP_004060309.1,-1.61210226735838,0.31241074870006,1.7042739635596e-09,8.4091897594371e-08,9013.65217602603,2712.10661168842
HFX_RS04430,"",hypothetical protein,protein_coding,WP_004057281.1,-1.45208897159434,0.289578897252866,1.98350951521648e-09,9.6646501128923e-08,492.42858862353,165.095107813423
HFX_RS16955,"",NAD-binding protein,protein_coding,WP_049917560.1,-2.09571204176125,0.38413661261795,2.09697457172941e-09,1.00913665192608e-07,137.941894374017,28.8597289322027
HFX_RS06165,"",chromosome partition protein,protein_coding,WP_004572408.1,0.78378282761042,0.144916089946444,2.44135897321362e-09,1.16053869238862e-07,1575.45280043318,2863.24481411095
HFX_RS00680,"",hypothetical protein,protein_coding,WP_004058550.1,1.43577087288543,0.289740354834007,2.56450346952376e-09,1.20438970171128e-07,725.410259452577,2141.39310427367
HFX_RS04460,"",hypothetical protein,protein_coding,WP_004057275.1,-1.35440270913617,0.284912014238781,5.97896459714894e-09,2.77452428567697e-07,972.035414827084,346.272550509095
HFX_RS04410,"",hypothetical protein,protein_coding,WP_004057286.1,-1.68946572388078,0.341299093074705,6.5687875597394e-09,3.01236869504284e-07,317.122632438135,89.0801383756032
HFX_RS12275,"",gluconate:H+ symporter,protein_coding,WP_004059657.1,1.10052796219925,0.23180027077564,7.87062545296049e-09,3.54459935514363e-07,692.731481889643,1624.15003126645
HFX_RS17215,"",LamG domain-containing protein,protein_coding,WP_004061031.1,0.762206623143814,0.145899159882495,7.91124022312713e-09,3.54459935514363e-07,1341.48852107239,2403.50137021349
HFX_RS14815,"",ABC transporter permease,protein_coding,WP_004058866.1,-1.25457763205961,0.268072652002236,8.09476068504313e-09,3.58561103980661e-07,12764.1703226179,4868.29955452592
HFX_RS18655,"",DUF6159 family protein,protein_coding,WP_014732845.1,0.92162655636286,0.186188477985157,8.49069421085398e-09,3.71873326223694e-07,7555.78002129483,15463.2180326977
HFX_RS04465,"",hypothetical protein,protein_coding,WP_004057274.1,-0.799223827169455,0.155404652975321,8.8984292308676e-09,3.85400857132466e-07,1911.77766870351,1033.03817096124
HFX_RS02635,"",NADP-dependent oxidoreductase,protein_coding,WP_004057780.1,0.77859610095802,0.153482657190847,1.52387652901495e-08,6.52755023087941e-07,678.841274157222,1235.48014579677
HFX_RS19610,"",hypothetical protein,protein_coding,WP_155844685.1,-1.78507850978561,0.370029977205155,1.67229650840047e-08,7.08544759754895e-07,615.894935702029,160.697388578062
HFX_RS13430,"",ABC transporter permease subunit,protein_coding,WP_004059351.1,1.08354354452854,0.235555227524764,1.78292218203872e-08,7.47293619955584e-07,1501.92770347211,3499.57296932534
HFX_RS12490,"",hypothetical protein,protein_coding,WP_004059613.1,1.49753898941099,0.326070720572218,1.85022087832073e-08,7.67251168478107e-07,13896.9083890855,43409.8941884784
HFX_RS04285,"",ArtA-dependent S-layer glycoprotein,protein_coding,WP_004057339.1,-0.817416086202676,0.16469712392089,1.92093378556511e-08,7.8818946275082e-07,3408.79880459601,1809.04137572488
HFX_RS06615,"",hypothetical protein,protein_coding,WP_231512896.1,0.927392613845049,0.194360306793331,2.00291864744792e-08,8.13268425807501e-07,1168.09817218072,2414.32027792926
HFX_RS00920,"",hypothetical protein,protein_coding,WP_004058452.1,0.710161685745235,0.13910354841255,2.2034995027076e-08,8.85488769232393e-07,2244.92092441986,3862.6756886596
HFX_RS08515,ppk1,polyphosphate kinase 1,protein_coding,WP_004056653.1,0.723210656941301,0.142501432190321,2.33818522944871e-08,9.30025104529703e-07,1872.76025461719,3261.01284098772
HFX_RS02645,"",hypothetical protein,protein_coding,WP_004057775.1,0.97649892137143,0.212408289662009,3.29798043982133e-08,1.29853815701248e-06,485.492541510059,1048.21467992122
HFX_RS11950,"",DUF5518 domain-containing protein,protein_coding,WP_004059722.1,-0.935070433894059,0.20161915454035,3.64631488645775e-08,1.42133354274123e-06,2297.05988075772,1101.37004285887
HFX_RS17240,"",DUF5305 domain-containing protein,protein_coding,WP_004061026.1,-1.61480027376311,0.357583401532247,3.79050402871289e-08,1.46290937662602e-06,846.087099598447,247.407429356783
HFX_RS14290,"",alpha/beta fold hydrolase,protein_coding,WP_049917469.1,0.747610568861959,0.155179213270025,7.03552072554615e-08,2.68867252825283e-06,681.719646074792,1218.16417558675
HFX_RS03050,"",Yip1 family protein,protein_coding,WP_004057609.1,0.746741034810748,0.15540763757582,7.53453771206024e-08,2.85142019433115e-06,714.380310132248,1275.43976999989
HFX_RS00570,"",SUF system NifU family Fe-S cluster assembly protein,protein_coding,WP_004058592.1,-0.898820487802125,0.199599724120508,9.17328224264153e-08,3.43821674825161e-06,3264.65976272756,1601.81092743418
HFX_RS18530,"",hypothetical protein,protein_coding,WP_014732838.1,1.94218290429037,0.428652444363631,9.30751186845382e-08,3.45530297745076e-06,135918.157972901,600896.423341351
HFX_RS15415,"",SWIM zinc finger domain-containing protein,protein_coding,WP_004060593.1,-1.03728890733837,0.241204849419092,9.42557922476141e-08,3.46612337906792e-06,587.143564061817,257.522168598768
HFX_RS07320,"",DUF4399 domain-containing protein,protein_coding,WP_004056958.1,0.88819698708705,0.199656630938978,1.28507496934261e-07,4.68151610326868e-06,7816.36010733272,15826.7614376741
HFX_RS17725,"",hydantoinase B/oxoprolinase family protein,protein_coding,WP_004060926.1,0.796677741797294,0.17389080697668,1.46283265379154e-07,5.2797423004439e-06,843.020224485816,1580.73573841741
HFX_RS10460,"",hypothetical protein,protein_coding,WP_179955380.1,0.777797601849487,0.169242508906407,1.59538982758684e-07,5.70534820911331e-06,3857.2102484226,7108.99983830127
HFX_RS12485,"",CPBP family intramembrane glutamic endopeptidase,protein_coding,WP_004059614.1,0.751736163875398,0.163090361235222,1.84115730824455e-07,6.52439198867024e-06,7372.01666539663,13289.1317858767
HFX_RS16675,"",ABC transporter substrate-binding protein,protein_coding,WP_004056472.1,-0.759465912222005,0.165336019036686,1.86591403070651e-07,6.55255215467925e-06,3003.08372718909,1654.58543831456
HFX_RS00035,"",aspartate kinase,protein_coding,WP_004058824.1,-0.800131913314452,0.178853377896884,2.3373851999989e-07,8.13493527642475e-06,7132.5583298201,3785.71896595765
HFX_RS05980,"",CheF family chemotaxis protein,protein_coding,WP_004572447.1,-2.30705528873325,0.527375315251311,2.89550680039676e-07,9.98821726366952e-06,5621.36752466205,907.709767384537
HFX_RS05375,"",M20 family metallopeptidase,protein_coding,WP_004572570.1,-1.02222658413722,0.252128521298249,3.11335757585665e-07,1.06454980970958e-05,2842.18299942036,1247.54882302353
HFX_RS08725,"",LUD domain-containing protein,protein_coding,WP_004056570.1,-0.741259505302653,0.166871507040566,4.28837286242758e-07,1.45357194936893e-05,4144.66274448855,2308.67138774273
HFX_RS03500,"",hypothetical protein,protein_coding,WP_004057506.1,-0.701363754252448,0.156376466323401,4.72725300900572e-07,1.58852001975037e-05,4948.25275408757,2856.79351578583
HFX_RS01150,"",cell division inhibitor,protein_coding,WP_004058363.1,-0.702492213698405,0.157379414132624,5.1655876059397e-07,1.72097952888487e-05,2289.71794052347,1320.05237397458
HFX_RS17640,gdhB,glutamate dehydrogenase GdhB,protein_coding,WP_004060944.1,-1.22359986635799,0.323265698547912,5.44930666904759e-07,1.80011842338538e-05,342.823958599362,127.871244409309
HFX_RS04450,"",hypothetical protein,protein_coding,WP_004057277.1,-1.51871804726111,0.396943011196067,5.61131041870595e-07,1.83805781614419e-05,1175.33271525393,354.896849778816
HFX_RS09615,"",DNA-directed RNA polymerase subunit K,protein_coding,WP_004060263.1,-0.922330121069346,0.228792399421034,6.35351010180794e-07,2.06383186473728e-05,6409.10985448612,3029.24764494139
HFX_RS04445,"",hypothetical protein,protein_coding,WP_004057278.1,-1.43134736262279,0.384630046804377,7.47874374728155e-07,2.40926802701682e-05,414.127625956643,132.32053057616
HFX_RS06075,"",SCO family protein,protein_coding,WP_004572427.1,-0.752830132132911,0.175628825386606,7.79754504675367e-07,2.49137955674146e-05,1460.80316462275,802.114291265554
HFX_RS02565,"",rhodanese-like domain-containing protein,protein_coding,WP_004057802.1,-0.733402777727051,0.170281553125352,8.25849867819106e-07,2.61720551606413e-05,908.610282698611,507.025169786453
HFX_RS02890,"",type II secretion system F family protein,protein_coding,WP_004057672.1,-2.08181031891217,0.524635768976152,9.50091102861287e-07,2.9866573539946e-05,809.178973278199,154.598802602378
HFX_RS06735,"",hypothetical protein,protein_coding,WP_004057131.1,-0.986140262631053,0.258111720560164,1.03061844438932e-06,3.21388055698366e-05,8731.07950988208,3889.83410912585
HFX_RS17625,"",hypothetical protein,protein_coding,WP_004060947.1,0.846889057653007,0.209592114380286,1.06376980188132e-06,3.29093229185188e-05,5086.43232882579,10124.0923914362
HFX_RS07375,"",ABC transporter permease,protein_coding,WP_004056948.1,-0.900326863210948,0.228611732287034,1.09551460077061e-06,3.3624534754361e-05,1376.2705439229,659.533072602872
HFX_RS04455,"",hypothetical protein,protein_coding,WP_004057276.1,-1.68108097676097,0.452175503613267,1.1659453180352e-06,3.55066785132906e-05,351.598832978597,92.4714202619213
HFX_RS02500,"",winged helix-turn-helix domain-containing protein,protein_coding,WP_004057818.1,-0.97056239531309,0.255236179461333,1.21383014882589e-06,3.66783714738241e-05,6137.10171281802,2763.05271286578
HFX_RS04835,"",hypothetical protein,protein_coding,WP_004572678.1,-0.763169416774426,0.183378741610046,1.2272057428682e-06,3.67972921976941e-05,3841.72277326408,2080.38895206516
HFX_RS07645,ptfA,fructose PTS transporter subunit IIA,protein_coding,WP_004056892.1,1.13355770936497,0.314499082864694,1.37714571159956e-06,4.09779693420999e-05,118.385524263834,302.750579647433
HFX_RS07370,"",ABC transporter permease,protein_coding,WP_004056949.1,-0.854038342086367,0.215596368608871,1.39830536938895e-06,4.12923812869554e-05,863.544536497117,429.555502141071
HFX_RS01060,"",PGF-CTERM sorting domain-containing protein,protein_coding,WP_004058397.1,1.39584607783873,0.394453649278285,1.50067880238531e-06,4.39823005390823e-05,6150.6943037219,18965.1022047761
HFX_RS12335,"",archaea-specific SMC-related protein,protein_coding,WP_004059644.1,-1.03410414779185,0.282512988830119,1.56066012003228e-06,4.53989040887002e-05,55174.5781011721,23493.8239214763
HFX_RS12855,"",bifunctional sugar-1-phosphate nucleotidylyltransferase/acetyltransferase,protein_coding,WP_004059537.1,0.849458030761871,0.217573302746803,1.82460529719216e-06,5.26837885070743e-05,4211.74222643581,8456.93140437689
HFX_RS18645,"",MarR family transcriptional regulator,protein_coding,WP_004060709.1,0.947101193996809,0.254369037771109,1.92659385867196e-06,5.50323544466931e-05,956.022983100394,2092.96972233003
HFX_RS04440,"",hypothetical protein,protein_coding,WP_004057279.1,-1.90195396217912,0.516752745081563,1.93417972272883e-06,5.50323544466931e-05,136.552960120896,29.6649398945198
HFX_RS00390,"",DoxX family protein,protein_coding,WP_081603717.1,0.882678851790221,0.231429018475986,2.05602363870125e-06,5.80752184323005e-05,2216.27436826705,4590.48361454387
HFX_RS08285,"",gas vesicle protein,protein_coding,WP_004056709.1,1.17905381347895,0.339379034863564,2.11140212060691e-06,5.92103990368757e-05,717.061554702624,1898.96062778774
HFX_RS02860,"",hypothetical protein,protein_coding,WP_004057683.1,1.30034451538284,0.37928310432321,2.2543090546656e-06,6.27664049649036e-05,191.600054238173,556.491676529946
HFX_RS09285,glyA,serine hydroxymethyltransferase,protein_coding,WP_004060358.1,0.79747150208196,0.202766966420824,2.41156056417101e-06,6.66685324761603e-05,6595.43236330307,12660.6687819644
HFX_RS08385,"",hypothetical protein,protein_coding,WP_004056689.1,-0.958774133700837,0.264109476648361,2.59979544915339e-06,7.13662159211262e-05,8424.30318858281,3790.24061654423
HFX_RS18615,"",substrate-binding domain-containing protein,protein_coding,WP_004060715.1,0.689581031266721,0.16940458681952,3.05138814319518e-06,8.31769998753483e-05,475.022477967045,825.934605265883
HFX_RS04725,"",hypothetical protein,protein_coding,WP_014732215.1,0.687486914833443,0.169895101029593,3.41378479359281e-06,9.24092578154498e-05,1313.40228329749,2277.62011744947
HFX_RS10175,"",D-2-hydroxyacid dehydrogenase,protein_coding,WP_004060149.1,-1.36101798302894,0.417365131230082,4.29463584276765e-06,0.000115451658724885,4469.75667054587,1451.10373590933
HFX_RS04895,"",hypothetical protein,protein_coding,WP_014732221.1,1.02971975768206,0.306366314324763,5.14857228929353e-06,0.000137459827285385,116.570420381432,277.279039818961
HFX_RS06070,"",iron transporter,protein_coding,WP_004572428.1,-0.804442101687968,0.217291583564363,5.61382961635475e-06,0.000148199124047341,1798.64464081575,921.863068953529
HFX_RS03495,"",DoxX family membrane protein,protein_coding,WP_004057507.1,0.857830783314297,0.238359638574959,5.62685232401398e-06,0.000148199124047341,51315.2114115175,105410.233231377
HFX_RS02925,"",ABC transporter substrate-binding protein,protein_coding,WP_004057662.1,-0.493867821201225,0.118935058650398,5.73544120759751e-06,0.000150045300853793,22599.0390370294,15503.85548952
HFX_RS02640,"",NAD(P)H-dependent oxidoreductase,protein_coding,WP_004057778.1,0.753985437619962,0.198891043808309,5.82268767991604e-06,0.000151312243842085,339.331779058661,633.115248589931
