"Experiment","Well","Species","Strain","Biological_replicate","Technical_replicate","Condition","Time","OD"
"20150716",190,"Haloferax volcanii","rosR","B",1,"0.667 mM paraquat",1,0.019
"20150716",192,"Haloferax volcanii","rosR","B",2,"0.667 mM paraquat",1,0.042
"20150716",193,"Haloferax volcanii","rosR","B",3,"0.667 mM paraquat",1,0.043
"20150716",194,"Haloferax volcanii","rosR","C",1,"0.667 mM paraquat",1,0.036
"20150716",195,"Haloferax volcanii","rosR","C",2,"0.667 mM paraquat",1,0.04
"20150716",196,"Haloferax volcanii","rosR","C",3,"0.667 mM paraquat",1,0.043
"20150716",197,"Haloferax volcanii","rosR","D",1,"0.667 mM paraquat",1,0.025
"20150716",198,"Haloferax volcanii","rosR","D",2,"0.667 mM paraquat",1,0.026
"20150716",199,"Haloferax volcanii","rosR","D",3,"0.667 mM paraquat",1,0.025
"20150716",102,"Haloferax volcanii","pyrE2","A",1,"standard",1.5,0.022
"20150716",103,"Haloferax volcanii","pyrE2","A",2,"standard",1.5,0.024
"20150716",104,"Haloferax volcanii","pyrE2","A",3,"standard",1.5,0.023
"20150716",105,"Haloferax volcanii","pyrE2","B",1,"standard",1.5,0.019
"20150716",106,"Haloferax volcanii","pyrE2","B",2,"standard",1.5,0.023
"20150716",107,"Haloferax volcanii","pyrE2","B",3,"standard",1.5,0.027
"20150716",108,"Haloferax volcanii","pyrE2","C",1,"standard",1.5,0.019
"20150716",109,"Haloferax volcanii","pyrE2","C",2,"standard",1.5,0.024
"20150716",111,"Haloferax volcanii","pyrE2","C",3,"standard",1.5,0.026
"20150716",112,"Haloferax volcanii","pyrE2","D",1,"standard",1.5,0.025
"20150716",113,"Haloferax volcanii","pyrE2","D",2,"standard",1.5,0.021
"20150716",114,"Haloferax volcanii","pyrE2","D",3,"standard",1.5,0.021
"20150716",115,"Haloferax volcanii","rosR","A",1,"standard",1.5,0.019
"20150716",116,"Haloferax volcanii","rosR","A",2,"standard",1.5,0.023
"20150716",117,"Haloferax volcanii","rosR","A",3,"standard",1.5,0.026
"20150716",118,"Haloferax volcanii","rosR","B",1,"standard",1.5,0.018
"20150716",119,"Haloferax volcanii","rosR","B",2,"standard",1.5,0.02
"20150716",120,"Haloferax volcanii","rosR","B",3,"standard",1.5,0.019
"20150716",121,"Haloferax volcanii","rosR","C",1,"standard",1.5,0.029
"20150716",122,"Haloferax volcanii","rosR","C",2,"standard",1.5,0.026
"20150716",123,"Haloferax volcanii","rosR","C",3,"standard",1.5,0.026
"20150716",124,"Haloferax volcanii","rosR","D",1,"standard",1.5,0.019
"20150716",125,"Haloferax volcanii","rosR","D",2,"standard",1.5,0.022
"20150716",126,"Haloferax volcanii","rosR","D",3,"standard",1.5,0.022
"20150716",175,"Haloferax volcanii","pyrE2","A",1,"0.667 mM paraquat",1.5,0.026
"20150716",176,"Haloferax volcanii","pyrE2","A",2,"0.667 mM paraquat",1.5,0.027
"20150716",177,"Haloferax volcanii","pyrE2","A",3,"0.667 mM paraquat",1.5,0.027
"20150716",178,"Haloferax volcanii","pyrE2","B",1,"0.667 mM paraquat",1.5,0.024
"20150716",179,"Haloferax volcanii","pyrE2","B",2,"0.667 mM paraquat",1.5,0.026
"20150716",180,"Haloferax volcanii","pyrE2","B",3,"0.667 mM paraquat",1.5,0.027
"20150716",181,"Haloferax volcanii","pyrE2","C",1,"0.667 mM paraquat",1.5,0.027
"20150716",182,"Haloferax volcanii","pyrE2","C",2,"0.667 mM paraquat",1.5,0.029
"20150716",183,"Haloferax volcanii","pyrE2","C",3,"0.667 mM paraquat",1.5,0.032
"20150716",184,"Haloferax volcanii","pyrE2","D",1,"0.667 mM paraquat",1.5,0.028
"20150716",185,"Haloferax volcanii","pyrE2","D",2,"0.667 mM paraquat",1.5,0.034
"20150716",186,"Haloferax volcanii","pyrE2","D",3,"0.667 mM paraquat",1.5,0.037
"20150716",187,"Haloferax volcanii","rosR","A",1,"0.667 mM paraquat",1.5,0.027
"20150716",188,"Haloferax volcanii","rosR","A",2,"0.667 mM paraquat",1.5,0.03
"20150716",189,"Haloferax volcanii","rosR","A",3,"0.667 mM paraquat",1.5,0.03
"20150716",190,"Haloferax volcanii","rosR","B",1,"0.667 mM paraquat",1.5,0.02
"20150716",192,"Haloferax volcanii","rosR","B",2,"0.667 mM paraquat",1.5,0.042
"20150716",193,"Haloferax volcanii","rosR","B",3,"0.667 mM paraquat",1.5,0.043
"20150716",194,"Haloferax volcanii","rosR","C",1,"0.667 mM paraquat",1.5,0.036
"20150716",195,"Haloferax volcanii","rosR","C",2,"0.667 mM paraquat",1.5,0.039
"20150716",196,"Haloferax volcanii","rosR","C",3,"0.667 mM paraquat",1.5,0.042
"20150716",197,"Haloferax volcanii","rosR","D",1,"0.667 mM paraquat",1.5,0.026
"20150716",198,"Haloferax volcanii","rosR","D",2,"0.667 mM paraquat",1.5,0.027
"20150716",199,"Haloferax volcanii","rosR","D",3,"0.667 mM paraquat",1.5,0.027
"20150716",102,"Haloferax volcanii","pyrE2","A",1,"standard",2,0.025
"20150716",103,"Haloferax volcanii","pyrE2","A",2,"standard",2,0.027
"20150716",104,"Haloferax volcanii","pyrE2","A",3,"standard",2,0.025
"20150716",105,"Haloferax volcanii","pyrE2","B",1,"standard",2,0.022
"20150716",106,"Haloferax volcanii","pyrE2","B",2,"standard",2,0.026
"20150716",107,"Haloferax volcanii","pyrE2","B",3,"standard",2,0.03
"20150716",108,"Haloferax volcanii","pyrE2","C",1,"standard",2,0.022
"20150716",109,"Haloferax volcanii","pyrE2","C",2,"standard",2,0.027
"20150716",111,"Haloferax volcanii","pyrE2","C",3,"standard",2,0.029
"20150716",112,"Haloferax volcanii","pyrE2","D",1,"standard",2,0.027
"20150716",113,"Haloferax volcanii","pyrE2","D",2,"standard",2,0.024
"20150716",114,"Haloferax volcanii","pyrE2","D",3,"standard",2,0.023
"20150716",115,"Haloferax volcanii","rosR","A",1,"standard",2,0.021
"20150716",116,"Haloferax volcanii","rosR","A",2,"standard",2,0.026
"20150716",117,"Haloferax volcanii","rosR","A",3,"standard",2,0.03
"20150716",118,"Haloferax volcanii","rosR","B",1,"standard",2,0.02
"20150716",119,"Haloferax volcanii","rosR","B",2,"standard",2,0.023
"20150716",120,"Haloferax volcanii","rosR","B",3,"standard",2,0.022
"20150716",121,"Haloferax volcanii","rosR","C",1,"standard",2,0.031
"20150716",122,"Haloferax volcanii","rosR","C",2,"standard",2,0.03
"20150716",123,"Haloferax volcanii","rosR","C",3,"standard",2,0.029
"20150716",124,"Haloferax volcanii","rosR","D",1,"standard",2,0.022
"20150716",125,"Haloferax volcanii","rosR","D",2,"standard",2,0.025
"20150716",126,"Haloferax volcanii","rosR","D",3,"standard",2,0.026
"20150716",175,"Haloferax volcanii","pyrE2","A",1,"0.667 mM paraquat",2,0.028
"20150716",176,"Haloferax volcanii","pyrE2","A",2,"0.667 mM paraquat",2,0.029
"20150716",177,"Haloferax volcanii","pyrE2","A",3,"0.667 mM paraquat",2,0.029
"20150716",178,"Haloferax volcanii","pyrE2","B",1,"0.667 mM paraquat",2,0.026
"20150716",179,"Haloferax volcanii","pyrE2","B",2,"0.667 mM paraquat",2,0.029
"20150716",180,"Haloferax volcanii","pyrE2","B",3,"0.667 mM paraquat",2,0.029
"20150716",181,"Haloferax volcanii","pyrE2","C",1,"0.667 mM paraquat",2,0.029
"20150716",182,"Haloferax volcanii","pyrE2","C",2,"0.667 mM paraquat",2,0.03
"20150716",183,"Haloferax volcanii","pyrE2","C",3,"0.667 mM paraquat",2,0.033
"20150716",184,"Haloferax volcanii","pyrE2","D",1,"0.667 mM paraquat",2,0.03
"20150716",185,"Haloferax volcanii","pyrE2","D",2,"0.667 mM paraquat",2,0.037
"20150716",186,"Haloferax volcanii","pyrE2","D",3,"0.667 mM paraquat",2,0.04
"20150716",187,"Haloferax volcanii","rosR","A",1,"0.667 mM paraquat",2,0.029
"20150716",188,"Haloferax volcanii","rosR","A",2,"0.667 mM paraquat",2,0.032
"20150716",189,"Haloferax volcanii","rosR","A",3,"0.667 mM paraquat",2,0.033
"20150716",190,"Haloferax volcanii","rosR","B",1,"0.667 mM paraquat",2,0.022
"20150716",192,"Haloferax volcanii","rosR","B",2,"0.667 mM paraquat",2,0.044
"20150716",193,"Haloferax volcanii","rosR","B",3,"0.667 mM paraquat",2,0.046
"20150716",194,"Haloferax volcanii","rosR","C",1,"0.667 mM paraquat",2,0.039
"20150716",195,"Haloferax volcanii","rosR","C",2,"0.667 mM paraquat",2,0.042
"20150716",196,"Haloferax volcanii","rosR","C",3,"0.667 mM paraquat",2,0.045
"20150716",197,"Haloferax volcanii","rosR","D",1,"0.667 mM paraquat",2,0.029
"20150716",198,"Haloferax volcanii","rosR","D",2,"0.667 mM paraquat",2,0.03
"20150716",199,"Haloferax volcanii","rosR","D",3,"0.667 mM paraquat",2,0.029
"20150716",102,"Haloferax volcanii","pyrE2","A",1,"standard",2.5,0.029
"20150716",103,"Haloferax volcanii","pyrE2","A",2,"standard",2.5,0.031
"20150716",104,"Haloferax volcanii","pyrE2","A",3,"standard",2.5,0.03
"20150716",105,"Haloferax volcanii","pyrE2","B",1,"standard",2.5,0.026
"20150716",106,"Haloferax volcanii","pyrE2","B",2,"standard",2.5,0.03
"20150716",107,"Haloferax volcanii","pyrE2","B",3,"standard",2.5,0.035
"20150716",108,"Haloferax volcanii","pyrE2","C",1,"standard",2.5,0.026
"20150716",109,"Haloferax volcanii","pyrE2","C",2,"standard",2.5,0.031
"20150716",111,"Haloferax volcanii","pyrE2","C",3,"standard",2.5,0.034
"20150716",112,"Haloferax volcanii","pyrE2","D",1,"standard",2.5,0.032
"20150716",113,"Haloferax volcanii","pyrE2","D",2,"standard",2.5,0.029
"20150716",114,"Haloferax volcanii","pyrE2","D",3,"standard",2.5,0.028
"20150716",115,"Haloferax volcanii","rosR","A",1,"standard",2.5,0.024
"20150716",116,"Haloferax volcanii","rosR","A",2,"standard",2.5,0.03
"20150716",117,"Haloferax volcanii","rosR","A",3,"standard",2.5,0.035
"20150716",118,"Haloferax volcanii","rosR","B",1,"standard",2.5,0.024
"20150716",119,"Haloferax volcanii","rosR","B",2,"standard",2.5,0.027
"20150716",120,"Haloferax volcanii","rosR","B",3,"standard",2.5,0.025
"20150716",121,"Haloferax volcanii","rosR","C",1,"standard",2.5,0.037
"20150716",122,"Haloferax volcanii","rosR","C",2,"standard",2.5,0.035
"20150716",123,"Haloferax volcanii","rosR","C",3,"standard",2.5,0.035
"20150716",124,"Haloferax volcanii","rosR","D",1,"standard",2.5,0.027
"20150716",125,"Haloferax volcanii","rosR","D",2,"standard",2.5,0.03
"20150716",126,"Haloferax volcanii","rosR","D",3,"standard",2.5,0.031
"20150716",175,"Haloferax volcanii","pyrE2","A",1,"0.667 mM paraquat",2.5,0.032
"20150716",176,"Haloferax volcanii","pyrE2","A",2,"0.667 mM paraquat",2.5,0.033
"20150716",177,"Haloferax volcanii","pyrE2","A",3,"0.667 mM paraquat",2.5,0.033
"20150716",178,"Haloferax volcanii","pyrE2","B",1,"0.667 mM paraquat",2.5,0.029
"20150716",179,"Haloferax volcanii","pyrE2","B",2,"0.667 mM paraquat",2.5,0.033
"20150716",180,"Haloferax volcanii","pyrE2","B",3,"0.667 mM paraquat",2.5,0.033
"20150716",181,"Haloferax volcanii","pyrE2","C",1,"0.667 mM paraquat",2.5,0.034
"20150716",182,"Haloferax volcanii","pyrE2","C",2,"0.667 mM paraquat",2.5,0.034
"20150716",183,"Haloferax volcanii","pyrE2","C",3,"0.667 mM paraquat",2.5,0.039
"20150716",184,"Haloferax volcanii","pyrE2","D",1,"0.667 mM paraquat",2.5,0.034
"20150716",185,"Haloferax volcanii","pyrE2","D",2,"0.667 mM paraquat",2.5,0.042
"20150716",186,"Haloferax volcanii","pyrE2","D",3,"0.667 mM paraquat",2.5,0.044
"20150716",187,"Haloferax volcanii","rosR","A",1,"0.667 mM paraquat",2.5,0.032
"20150716",188,"Haloferax volcanii","rosR","A",2,"0.667 mM paraquat",2.5,0.036
"20150716",189,"Haloferax volcanii","rosR","A",3,"0.667 mM paraquat",2.5,0.037
"20150716",190,"Haloferax volcanii","rosR","B",1,"0.667 mM paraquat",2.5,0.025
"20150716",192,"Haloferax volcanii","rosR","B",2,"0.667 mM paraquat",2.5,0.053
"20150716",193,"Haloferax volcanii","rosR","B",3,"0.667 mM paraquat",2.5,0.053
"20150716",194,"Haloferax volcanii","rosR","C",1,"0.667 mM paraquat",2.5,0.046
"20150716",195,"Haloferax volcanii","rosR","C",2,"0.667 mM paraquat",2.5,0.05
"20150716",196,"Haloferax volcanii","rosR","C",3,"0.667 mM paraquat",2.5,0.055
"20150716",197,"Haloferax volcanii","rosR","D",1,"0.667 mM paraquat",2.5,0.034
"20150716",198,"Haloferax volcanii","rosR","D",2,"0.667 mM paraquat",2.5,0.035
"20150716",199,"Haloferax volcanii","rosR","D",3,"0.667 mM paraquat",2.5,0.034
"20150716",102,"Haloferax volcanii","pyrE2","A",1,"standard",3,0.033
"20150716",103,"Haloferax volcanii","pyrE2","A",2,"standard",3,0.036
"20150716",104,"Haloferax volcanii","pyrE2","A",3,"standard",3,0.034
"20150716",105,"Haloferax volcanii","pyrE2","B",1,"standard",3,0.03
"20150716",106,"Haloferax volcanii","pyrE2","B",2,"standard",3,0.035
"20150716",107,"Haloferax volcanii","pyrE2","B",3,"standard",3,0.04
"20150716",108,"Haloferax volcanii","pyrE2","C",1,"standard",3,0.029
"20150716",109,"Haloferax volcanii","pyrE2","C",2,"standard",3,0.035
"20150716",111,"Haloferax volcanii","pyrE2","C",3,"standard",3,0.038
"20150716",112,"Haloferax volcanii","pyrE2","D",1,"standard",3,0.036
"20150716",113,"Haloferax volcanii","pyrE2","D",2,"standard",3,0.032
"20150716",114,"Haloferax volcanii","pyrE2","D",3,"standard",3,0.032
"20150716",115,"Haloferax volcanii","rosR","A",1,"standard",3,0.028
"20150716",116,"Haloferax volcanii","rosR","A",2,"standard",3,0.035
"20150716",117,"Haloferax volcanii","rosR","A",3,"standard",3,0.04
"20150716",118,"Haloferax volcanii","rosR","B",1,"standard",3,0.028
"20150716",119,"Haloferax volcanii","rosR","B",2,"standard",3,0.03
"20150716",120,"Haloferax volcanii","rosR","B",3,"standard",3,0.029
"20150716",121,"Haloferax volcanii","rosR","C",1,"standard",3,0.041
"20150716",122,"Haloferax volcanii","rosR","C",2,"standard",3,0.04
"20150716",123,"Haloferax volcanii","rosR","C",3,"standard",3,0.041
"20150716",124,"Haloferax volcanii","rosR","D",1,"standard",3,0.031
"20150716",125,"Haloferax volcanii","rosR","D",2,"standard",3,0.035
"20150716",126,"Haloferax volcanii","rosR","D",3,"standard",3,0.036
"20150716",175,"Haloferax volcanii","pyrE2","A",1,"0.667 mM paraquat",3,0.034
"20150716",176,"Haloferax volcanii","pyrE2","A",2,"0.667 mM paraquat",3,0.034
"20150716",177,"Haloferax volcanii","pyrE2","A",3,"0.667 mM paraquat",3,0.036
"20150716",178,"Haloferax volcanii","pyrE2","B",1,"0.667 mM paraquat",3,0.031
"20150716",179,"Haloferax volcanii","pyrE2","B",2,"0.667 mM paraquat",3,0.034
"20150716",180,"Haloferax volcanii","pyrE2","B",3,"0.667 mM paraquat",3,0.036
"20150716",181,"Haloferax volcanii","pyrE2","C",1,"0.667 mM paraquat",3,0.033
"20150716",182,"Haloferax volcanii","pyrE2","C",2,"0.667 mM paraquat",3,0.035
"20150716",183,"Haloferax volcanii","pyrE2","C",3,"0.667 mM paraquat",3,0.039
"20150716",184,"Haloferax volcanii","pyrE2","D",1,"0.667 mM paraquat",3,0.036
"20150716",185,"Haloferax volcanii","pyrE2","D",2,"0.667 mM paraquat",3,0.043
"20150716",186,"Haloferax volcanii","pyrE2","D",3,"0.667 mM paraquat",3,0.046
"20150716",187,"Haloferax volcanii","rosR","A",1,"0.667 mM paraquat",3,0.034
"20150716",188,"Haloferax volcanii","rosR","A",2,"0.667 mM paraquat",3,0.038
"20150716",189,"Haloferax volcanii","rosR","A",3,"0.667 mM paraquat",3,0.04
"20150716",190,"Haloferax volcanii","rosR","B",1,"0.667 mM paraquat",3,0.027
"20150716",192,"Haloferax volcanii","rosR","B",2,"0.667 mM paraquat",3,0.05
"20150716",193,"Haloferax volcanii","rosR","B",3,"0.667 mM paraquat",3,0.051
"20150716",194,"Haloferax volcanii","rosR","C",1,"0.667 mM paraquat",3,0.045
"20150716",195,"Haloferax volcanii","rosR","C",2,"0.667 mM paraquat",3,0.05
